n_train,method_label,p_rank1
500,geometry_plus_topology | rf,0.6
500,geometry_plus_topology | hgb,0.0
500,geometry_plus_topology | mlp,0.4
500,enriched_interpretable | rf,0.0
500,geometry_only | rf,0.0
500,enriched_interpretable | hgb,0.0
500,enriched_interpretable | mlp,0.0
500,geometry_only | hgb,0.0
500,geometry_only | mlp,0.0
500,geometry_plus_topology | ridge,0.0
500,enriched_interpretable | ridge,0.0
500,geometry_only | ridge,0.0
500,topology_only | ridge,0.0
500,topology_only | hgb,0.0
500,topology_only | mlp,0.0
500,topology_only | rf,0.0
1000,geometry_plus_topology | rf,0.8
1000,geometry_plus_topology | hgb,0.0
1000,geometry_plus_topology | mlp,0.2
1000,enriched_interpretable | rf,0.0
1000,geometry_only | rf,0.0
1000,enriched_interpretable | hgb,0.0
1000,enriched_interpretable | mlp,0.0
1000,geometry_only | hgb,0.0
1000,geometry_only | mlp,0.0
1000,geometry_plus_topology | ridge,0.0
1000,enriched_interpretable | ridge,0.0
1000,geometry_only | ridge,0.0
1000,topology_only | ridge,0.0
1000,topology_only | hgb,0.0
1000,topology_only | mlp,0.0
1000,topology_only | rf,0.0
2000,geometry_plus_topology | rf,0.9
2000,geometry_plus_topology | hgb,0.1
2000,geometry_plus_topology | mlp,0.0
2000,enriched_interpretable | rf,0.0
2000,geometry_only | rf,0.0
2000,enriched_interpretable | hgb,0.0
2000,enriched_interpretable | mlp,0.0
2000,geometry_only | hgb,0.0
2000,geometry_only | mlp,0.0
2000,geometry_plus_topology | ridge,0.0
2000,enriched_interpretable | ridge,0.0
2000,geometry_only | ridge,0.0
2000,topology_only | ridge,0.0
2000,topology_only | hgb,0.0
2000,topology_only | mlp,0.0
2000,topology_only | rf,0.0
5000,geometry_plus_topology | rf,0.2
5000,geometry_plus_topology | hgb,0.8
5000,geometry_plus_topology | mlp,0.0
5000,enriched_interpretable | rf,0.0
5000,geometry_only | rf,0.0
5000,enriched_interpretable | hgb,0.0
5000,enriched_interpretable | mlp,0.0
5000,geometry_only | hgb,0.0
5000,geometry_only | mlp,0.0
5000,geometry_plus_topology | ridge,0.0
5000,enriched_interpretable | ridge,0.0
5000,geometry_only | ridge,0.0
5000,topology_only | ridge,0.0
5000,topology_only | hgb,0.0
5000,topology_only | mlp,0.0
5000,topology_only | rf,0.0
10000,geometry_plus_topology | rf,0.0
10000,geometry_plus_topology | hgb,1.0
10000,geometry_plus_topology | mlp,0.0
10000,enriched_interpretable | rf,0.0
10000,geometry_only | rf,0.0
10000,enriched_interpretable | hgb,0.0
10000,enriched_interpretable | mlp,0.0
10000,geometry_only | hgb,0.0
10000,geometry_only | mlp,0.0
10000,geometry_plus_topology | ridge,0.0
10000,enriched_interpretable | ridge,0.0
10000,geometry_only | ridge,0.0
10000,topology_only | ridge,0.0
10000,topology_only | hgb,0.0
10000,topology_only | mlp,0.0
10000,topology_only | rf,0.0
20000,geometry_plus_topology | rf,0.9
20000,geometry_plus_topology | hgb,0.1
20000,geometry_plus_topology | mlp,0.0
20000,enriched_interpretable | rf,0.0
20000,geometry_only | rf,0.0
20000,enriched_interpretable | hgb,0.0
20000,enriched_interpretable | mlp,0.0
20000,geometry_only | hgb,0.0
20000,geometry_only | mlp,0.0
20000,geometry_plus_topology | ridge,0.0
20000,enriched_interpretable | ridge,0.0
20000,geometry_only | ridge,0.0
20000,topology_only | ridge,0.0
20000,topology_only | hgb,0.0
20000,topology_only | mlp,0.0
20000,topology_only | rf,0.0
40000,geometry_plus_topology | rf,1.0
40000,geometry_plus_topology | hgb,0.0
40000,geometry_plus_topology | mlp,0.0
40000,enriched_interpretable | rf,0.0
40000,geometry_only | rf,0.0
40000,enriched_interpretable | hgb,0.0
40000,enriched_interpretable | mlp,0.0
40000,geometry_only | hgb,0.0
40000,geometry_only | mlp,0.0
40000,geometry_plus_topology | ridge,0.0
40000,enriched_interpretable | ridge,0.0
40000,geometry_only | ridge,0.0
40000,topology_only | ridge,0.0
40000,topology_only | hgb,0.0
40000,topology_only | mlp,0.0
40000,topology_only | rf,0.0
210995,geometry_plus_topology | rf,1.0
210995,geometry_plus_topology | hgb,0.0
210995,geometry_plus_topology | mlp,0.0
210995,enriched_interpretable | rf,0.0
210995,geometry_only | rf,0.0
210995,enriched_interpretable | hgb,0.0
210995,enriched_interpretable | mlp,0.0
210995,geometry_only | hgb,0.0
210995,geometry_only | mlp,0.0
210995,geometry_plus_topology | ridge,0.0
210995,enriched_interpretable | ridge,0.0
210995,geometry_only | ridge,0.0
210995,topology_only | ridge,0.0
210995,topology_only | hgb,0.0
210995,topology_only | mlp,0.0
210995,topology_only | rf,0.0
