method_label,descriptor_family,model_name,initial_rmse,full_rmse,absolute_rmse_gain,n_to_50pct_gain,n_to_80pct_gain,n_to_90pct_gain,n_to_95pct_gain
geometry_plus_topology | rf,geometry_plus_topology,rf,0.6346864734686536,0.4432913592101097,0.19139511425854389,20000,210995,210995,210995
geometry_plus_topology | hgb,geometry_plus_topology,hgb,0.6545587477263858,0.49018717767923803,0.16437157004714775,5000,40000,210995,210995
geometry_plus_topology | mlp,geometry_plus_topology,mlp,0.7127839060219361,0.49297875088712306,0.21980515513481302,5000,40000,210995,210995
enriched_interpretable | rf,enriched_interpretable,rf,0.6769220214231215,0.49391287423077557,0.18300914719234596,10000,210995,210995,210995
geometry_only | rf,geometry_only,rf,0.6812186087046493,0.5285459569863329,0.15267265171831645,10000,210995,210995,210995
enriched_interpretable | hgb,enriched_interpretable,hgb,0.6960657186324226,0.5382607983719478,0.15780492026047477,5000,20000,40000,210995
enriched_interpretable | mlp,enriched_interpretable,mlp,0.7864271588691577,0.5547718387352312,0.23165532013392653,2000,40000,210995,210995
geometry_only | hgb,geometry_only,hgb,0.7094711467911015,0.5689421913043347,0.1405289554867668,5000,20000,40000,210995
geometry_only | mlp,geometry_only,mlp,0.7251130017274684,0.5798232911064112,0.14528971062105722,10000,40000,210995,210995
geometry_plus_topology | ridge,geometry_plus_topology,ridge,0.6726075723514371,0.6392392505745829,0.033368321776854226,2000,5000,20000,20000
enriched_interpretable | ridge,enriched_interpretable,ridge,0.7309415089412045,0.703022237261661,0.027919271679543445,1000,5000,10000,10000
geometry_only | ridge,geometry_only,ridge,0.7489498124748195,0.7437695381752552,0.005180274299564358,2000,5000,10000,20000
topology_only | ridge,topology_only,ridge,0.8008216018311771,0.7859789429761779,0.014842658854999247,2000,10000,20000,40000
topology_only | hgb,topology_only,hgb,0.8041385021483329,0.7859943782136263,0.018144123934706657,5000,40000,40000,210995
topology_only | mlp,topology_only,mlp,0.8062660504334455,0.7862229620512976,0.020043088382147856,2000,10000,20000,40000
topology_only | rf,topology_only,rf,0.8029435044165576,0.7867793887747765,0.016164115641781107,2000,10000,20000,20000
